Wall time,Step,Value
1774130051.2579427,210,1958.7987060546875
1774130134.694783,421,171.3164825439453
1774130218.1441505,632,28.054807662963867
1774130302.055462,843,8.289310455322266
1774130385.5410576,1054,4.325221538543701
1774130469.0119188,1265,2.6706113815307617
1774130552.47731,1476,2.012082815170288
1774130636.3221614,1687,1.7764792442321777
1774130719.6809604,1898,1.6604670286178589
1774130803.0095608,2109,1.5804953575134277
1774130886.3503587,2320,1.5103278160095215
1774130970.1444626,2531,1.4459062814712524
1774131053.5326777,2742,1.3869301080703735
1774131136.8442216,2953,1.3276026248931885
1774131220.3662984,3164,1.2647907733917236
1774131304.1956794,3375,1.2126814126968384
1774131387.410687,3586,1.1525359153747559
1774131470.819751,3797,1.0976859331130981
1774131554.2387962,4008,1.0497517585754395
1774131638.0305305,4219,1.0064537525177002
1774131721.3751144,4430,0.9681571125984192
1774131804.9168272,4641,0.9364361763000488
1774131888.3109856,4852,0.9016103744506836
1774131971.904324,5063,0.872004508972168
1774132055.2853217,5274,0.8475549221038818
1774132138.6852927,5485,0.8304571509361267
1774132222.0507534,5696,0.8115972280502319
1774132305.8762078,5907,0.7934310436248779
1774132389.3511276,6118,0.7738429307937622
1774132472.8428752,6329,0.7568637132644653
1774132556.1502118,6540,0.7428382039070129
1774132639.9103363,6751,0.7351921796798706
1774132723.2165337,6962,0.7233824729919434
1774132806.574649,7173,0.7084289193153381
1774132889.9970605,7384,0.7046677470207214
1774132973.781724,7595,0.6966353058815002
1774133057.1468575,7806,0.690280020236969
1774133140.641224,8017,0.6832807660102844
1774133224.0486133,8228,0.6722232699394226
1774133307.8220026,8439,0.6658574342727661
1774133391.2532883,8650,0.6603514552116394
1774133474.7991657,8861,0.6594706177711487
1774133558.171745,9072,0.648989737033844
1774133641.9433854,9283,0.6462226510047913
1774133725.3848965,9494,0.6419045925140381
1774133808.7519147,9705,0.6379485726356506
1774133892.188532,9916,0.6325711607933044
1774133975.8563707,10127,0.6301745176315308
1774134059.2188628,10338,0.6301490068435669
1774134142.6407526,10549,0.6252225637435913
1774134226.1388404,10760,0.6188964247703552
1774134309.892561,10971,0.6225628852844238
1774134392.9067075,11182,0.6126421689987183
1774134476.4377818,11393,0.606968879699707
1774134560.0396004,11604,0.6070942282676697
1774134643.0315714,11815,0.6046951413154602
1774134726.8279834,12026,0.5966565012931824
1774134810.241607,12237,0.5968614816665649
1774134893.239637,12448,0.5939481854438782
1774134976.6125076,12659,0.5947542190551758
1774135059.9343915,12870,0.5953755378723145
1774135142.9740095,13081,0.586111307144165
1774135226.5200238,13292,0.5855571627616882
1774135310.0672486,13503,0.5825613141059875
1774135393.8046303,13714,0.5834580063819885
1774135476.998574,13925,0.5787357091903687
1774135560.5179732,14136,0.574597179889679
1774135643.865737,14347,0.5725640654563904
1774135727.5318043,14558,0.5685603618621826
1774135811.0448942,14769,0.5633246302604675
1774135894.421266,14980,0.5686728358268738
1774135977.5966454,15191,0.5622392892837524
1774136061.374919,15402,0.5566096901893616
1774136144.6587164,15613,0.5572123527526855
1774136227.809567,15824,0.562294065952301
1774136310.971656,16035,0.5602781176567078
1774136394.461486,16246,0.555819034576416
1774136477.959254,16457,0.5564776062965393
1774136560.9777114,16668,0.5546024441719055
1774136644.4241602,16879,0.5514850616455078
1774136727.896896,17090,0.5483962297439575
1774136811.748311,17301,0.5537859201431274
1774136894.7323396,17512,0.5497972965240479
1774136977.8387005,17723,0.5423204898834229
1774137061.2409203,17934,0.540092408657074
1774137145.0211835,18145,0.5348223447799683
1774137228.4917572,18356,0.531985342502594
1774137312.004446,18567,0.540860116481781
1774137395.177651,18778,0.5385004281997681
1774137478.5178015,18989,0.5310840606689453
1774137561.972121,19200,0.5305159687995911
1774137645.3110566,19411,0.5253344178199768
1774137728.6811848,19622,0.5250418782234192
1774137812.462369,19833,0.524558961391449
1774137895.965349,20044,0.5212997794151306
1774137979.2761893,20255,0.520347535610199
1774138062.583614,20466,0.5228808522224426
1774138145.9509912,20677,0.5251079797744751
1774138229.0995934,20888,0.5218161940574646
1774138312.0480871,21099,0.5226601958274841
1774138395.0337958,21310,0.5212630033493042
1774138478.545637,21521,0.5189983248710632
1774138562.0422423,21732,0.5221132636070251
1774138645.053805,21943,0.5083854794502258
1774138728.587182,22154,0.5087408423423767
1774138811.6796784,22365,0.5064316391944885
1774138895.5471897,22576,0.5063623189926147
1774138978.986945,22787,0.5054493546485901
1774139062.5119774,22998,0.5006793737411499
1774139145.9591362,23209,0.5041476488113403
1774139229.2963989,23420,0.5039685964584351
1774139312.3812244,23631,0.5032802820205688
1774139395.4478996,23842,0.5033157467842102
1774139478.6354368,24053,0.5027706623077393
1774139562.110438,24264,0.5009579062461853
1774139645.1947017,24475,0.49579739570617676
1774139728.501273,24686,0.49585631489753723
1774139811.5474255,24897,0.49101316928863525
1774139895.425108,25108,0.4918345808982849
1774139978.6176107,25319,0.49836817383766174
1774140061.6698315,25530,0.49392715096473694
1774140144.8130708,25741,0.4916050136089325
1774140228.3238711,25952,0.49339452385902405
1774140311.4900885,26163,0.4938816428184509
1774140394.6155965,26374,0.49221742153167725
1774140477.5858588,26585,0.49732184410095215
1774140560.5564678,26796,0.498787522315979
1774140643.988468,27007,0.5005951523780823
